"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 01 19:27:20 GMT+08:00 2021","Fri Jan 01 19:27:20 GMT+08:00 2021","188","test_case","test_case","TestCase","","","错误密码登录",""
"passed","Fri Jan 01 19:27:20 GMT+08:00 2021","Fri Jan 01 19:27:20 GMT+08:00 2021","94","test_case","test_case","TestCase","","","正确获取所有商品优选数据",""
"passed","Fri Jan 01 19:27:19 GMT+08:00 2021","Fri Jan 01 19:27:20 GMT+08:00 2021","518","test_case","test_case","TestCase","","","正确账号密码登录",""
